Date de la mesure,Province,Nature de la mesure,Description de la mesure,Pour en savoir plus
23-Mar-20,NUNAVUT,Tourisme ,"Interdiction de tout  voyage au Nunavut, sauf exception et mesures concernant la quarantaine. ","<a href=\""https://www.gov.nu.ca/fr/sante/news/ladministrateur-en-chef-de-la-sante-publique-interdit-tout-voyage-au-nunavut-sauf \""> Gouvernement du Nunavut</a>"
23-Mar-20,NUNAVUT,Administrative ,Fermeture des édifices du NUNAVUT au public et modification des services.  ,"<a href=\""https://www.gov.nu.ca/fr/services-communautaires-et-gouvernementaux/news/covid-19-mise-jour-du-ministere-des-services \""> Gouvernement du Nunavut</a>"
27-Mar-20,NUNAVUT,Économique ,"Soutien immédiat aux entreprises nunavoises par le biais du Programme de soutien aux petites entreprises.
","<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement\""> Gouvernement du Nunavut</a>"
02-Apr-20,NUNAVUT,Sanitaire ,Prolongement de la période d’urgence sanitaire.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-ministre-de-la-sante-prolonge-la-periode-durgence-sanitaire\""> Gouvernement du Nunavut</a>"
02-Apr-20,NUNAVUT,Économique ,Répit financier sur le loyer commercial des petites entreprises affectées par la COVID-19. ,"<a href=\""https://gov.nu.ca/fr/page/aide-durgence-du-canada-pour-le-loyer-commercial \""> Gouvernement du Nunavut</a>"
20-Apr-20,NUNAVUT,Économique ,Fourniture de 2 millions $ de financement additionnel aux municipalités pour couvrir les dépenses découlant de la COVID-19. ,"<a href=\""https://www.gov.nu.ca/fr/services-communautaires-et-gouvernementaux/news/covid-19-mise-jour-du-ministere-des-services \""> Gouvernement du Nunavut</a>"
22-Apr-20,NUNAVUT,Économique,Investissement par le ministère du Développement économique et des Transports et la Société de développement du Nunavut pour la confection de masques non médicaux destinés au public. ,"<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement\""> Gouvernement du Nunavut</a>"
29-Apr-20,NUNAVUT,Économique,Investissement par le ministère du Développement économique et des Transports et la Société de développement du Nunavut pour la confection de masques non médicaux destinés au public. ,"<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement \""> Gouvernement du Nunavut</a>"
12-May-20,NUNAVUT,Économique ,Mesures concernant les demandes au titre du Programme de prospection du Nunavut.,"<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/demandes-au-titre-du-programme-de-prospection-du-0 \""> Gouvernement du Nunavut</a>"
19-May-20,NUNAVUT,Déconfinement ,Plan de déconfinement graduel.,"<a href=\""https://www.msn.com/fr-ca/actualites/quebec-canada/quels-sont-les-plans-de-d%C3%A9confinement-%C3%A0-travers-le-canada/ar-BB14abx9\""> Gouvernement du Nunavut</a>"
01-Jun-20,NUNAVUT,Économique, Soutien aux travailleuses et travailleurs essentiels.,"<a href=\""https://www.gov.nu.ca/fr/finances/news/le-gn-et-le-gc-offrent-du-soutien-aux-travailleuses-et-travailleurs-essentiels \""> Gouvernement du Nunavut</a>"
08-Jul-20,NUNAVUT,Économique ,Processus pour les entreprises et particuliers souhaitant mener des activités d’exploration minérale ou des travaux  autres au Nunavut.,"<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/directives-lintention-de-non-residents-du-nunavut\""> Gouvernement du Nunavut</a>"
09-Jul-20,NUNAVUT,Sanitaire,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique \""> Gouvernement du Nunavut</a>"
20-Jul-20,NUNAVUT,Économique ,"Lancement de ShopNunavut.ca, une plateforme qui met de l’avant les produits, services et expériences accessibles aux Nunavummiuts.
","<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement\""> Gouvernement du Nunavut</a>"
06-Aug-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-0 \""> Gouvernement du Nunavut</a>"
10-Aug-20,NUNAVUT,Sanitaire ,Directives sanitaires relatives à la réouverture des entreprises.,"<a href=\""https://www.stikeman.com/fr-ca/savoir/guides/Le-retour-au-travail-et-les-plans-de-reouverture \""> Gouvernement du Nunavut</a>"
